company_name-discard,date_of_post,caption ,mention,hashtag,comments,shares,likes,status,views,post_type
Spotify News,"Dec 13, 2024","Mariah Carey’s “All I Want for Christmas Is You,” is the most-streamed holiday song of all time and officially the first holiday song to break 2 billion streams. Congratulations,",@mariahcarey,,82,482,2100,https://x.com/SpotifyNews/status/1867586191690019091/analytics,180000,Polls
Spotify,"Dec 13, 2024",Who are you most excited to see perform at the,https://spotify.link/bbma,#BBMAs,51,113,591,https://x.com/Spotify/status/1867329779621564650/analytics,132000,Stories
Spotify,"Dec 13, 2024",flipturn's latest release is on the horizon. Pre-save here:,https://open.spotify.com/prerelease/3MbG43xWFPfNJO7kCwY8bQ?si=94b3bd414cd54f10&nd=1&dlsi=58d239d71793461a…,,4,19,61,https://x.com/Spotify/status/1867298465363226948/analytics,74000,Reels
Spotify,"Dec 12, 2024",.,@samsmith,#BillionsClub,39,61,363,https://x.com/Spotify/status/1867222872114221159/analytics,93000,Product Showcases
Spotify,"Dec 12, 2024",Tap into,@brysontiller,,26,35,117,https://x.com/Spotify/status/1866982681558327347/analytics,122000,Product Showcases
Spotify,"Dec 12, 2024",Welcome to the,@ChappellRoan,#BillionsClub,44,566,5700,https://x.com/Spotify/status/1866960080102453526/analytics,186000,Static Images
Spotify,"Dec 10, 2024",Tell us your faves,,,31,63,353,https://x.com/Spotify/status/1866543415611232268/analytics,113000,Reels
Spotify,"Dec 10, 2024",What’s a non-holiday song that is actually a holiday song?,,,456,281,1600,https://x.com/Spotify/status/1866535923355357562/analytics,420000,Stories
Spotify,"Dec 10, 2024","What makes you Happy? For Jin, it’s his first solo album",,,393,22000,63000,https://x.com/Spotify/status/1866300893655654471/analytics,802000,Product Showcases
Spotify,"Dec 10, 2024",.,@ToveLo,#BillionsClub,23,104,659,https://x.com/Spotify/status/1866250862835671211/analytics,121000,Static Images
Spotify,"Dec 10, 2024",Who has the longest Top Artist Listening streak? Show us!,,#SpotifyWrapped,490,167,1800,https://x.com/Spotify/status/1866217651166433431/analytics,338000,Stories
Spotify,"Dec 9, 2024",What's the soundtrack for a spacewalk?,@NASA,#SpotifyWrapped,35,77,292,https://x.com/Spotify/status/1866129866917028316/analytics,118000,Static Images
Spotify,"Dec 8, 2024","Heading to Dundalk, MD y’all want anything?",@nbcsnl,,73,127,503,https://x.com/Spotify/status/1865820295174746149/analytics,248000,Memes
Spotify,"Dec 8, 2024",we listen and we don’t judge,,,56,41,431,https://x.com/Spotify/status/1865811357834301546/analytics,231000,Product Showcases
Spotify,"Dec 8, 2024",Audiobooks with the best narration of 2024,,#SpotifyWrapped,35,36,233,https://x.com/Spotify/status/1865765768862077437/analytics,115000,Live Streams
Spotify,"Dec 8, 2024",Top audiobooks was chosen based on data reflecting the most streamed audiobooks of 2024.,,,5,7,61,https://x.com/Spotify/status/1865757275358736531/analytics,77000,Infographics
Spotify,"Dec 8, 2024","no, thank YOU",,,46,93,1100,https://x.com/Spotify/status/1865536238201327829/analytics,253000,Live Streams
Spotify USA,"Dec 7, 2024",It’s tiiiiiiiiime,@MariahCarey,,96,667,3800,https://x.com/SpotifyUSA/status/1865117041717280861/analytics,209000,Product Showcases
Spotify,"Dec 7, 2024",,,,3,14,147,https://x.com/Spotify/status/1865110494551359514/analytics,77000,Videos
Spotify,"Dec 6, 2024",A mixtape by Addison Rae. Listen now on Spotify,https://open.spotify.com/playlist/37i9dQZF1DWU9jBen8IUSn?si=bqXxboxESWWc5Rac6x86sw&pi=u-zvGpYhmTR_q9…,,40,41,185,https://x.com/Spotify/status/1864812730126852518/analytics,127000,Live Streams
Spotify,"Dec 6, 2024","Things are heating up, with",#Gesaffelstein,@theweeknd,42,156,1200,https://x.com/Spotify/status/1864742702572601535/analytics,140000,Carousel Posts
Spotify,"Dec 5, 2024",Who’s your Top Artist this,#SpotifyWrapped,,6200,2300,11000,https://x.com/Spotify/status/1864671896144351293/analytics,1100000,Polls
Spotify,"Dec 5, 2024","Rosalía, La Fúmiga, Rels B... The",@FCBfemeni,#SpotifyWrapped,39,122,714,https://x.com/Spotify/status/1864600348717105497/analytics,134000,Polls
Spotify,"Dec 5, 2024","Bad Bunny, Kendrick Lamar, Tiakola...",#SpotifyWrapped,@FCBarcelona,27,80,761,https://x.com/Spotify/status/1864595576161227161/analytics,121000,Memes
Spotify,"Dec 5, 2024",Inside you are two wolves,,,254,520,5600,https://x.com/Spotify/status/1864399776445264050/analytics,290000,Static Images
Spotify Podcasts,"Dec 4, 2024",Best in show(s): presenting the Global Top Shows of 2024,#SpotifyWrapped,,45,69,466,https://x.com/spotifypodcasts/status/1864324262154084737/analytics,317000,Memes
Google,"Dec 4, 2024",We’re teaming up with,@Spotify,https://goo.gle/49lCpSC,102,282,908,https://x.com/Google/status/1864295127855812807/analytics,245000,Product Showcases
Spotify,"Dec 4, 2024",Listen to Your Top Songs playlist now:,https://spotify.link/yourtopsongs2024…,,515,625,6200,https://x.com/Spotify/status/1864348851101995232/analytics,347000,Live Streams
