company_name-discard,date_of_post,hashtag,comments,shares,likes,views,post_type
Coca-Cola,"Jul 24, 2022",@Marshmello,31,20,109,,Product Showcases
Coca-Cola,"Jul 20, 2022",@Marshmello,52,71,281,,Memes
Coca-Cola,"Jul 13, 2022",,122,78,543,,Polls
Coca-Cola,"Jul 11, 2022",#CocaColaXMarshmello,38,27,158,,Carousel Posts
Coca-Cola,"Jul 10, 2022",@Marshmello,45,42,254,,Static Images
Coca-Cola,"Jul 10, 2022",@marshmello,18,34,137,,Live Streams
Coca-Cola,"Jul 9, 2022",https://x.com/marshmello/sta/marshmello/status/1545812871140892674…,21,25,214,,Carousel Posts
Coca-Cola,"Jul 8, 2022",#CocaColaXMarshmello,15,19,95,,Static Images
Coca-Cola,"Jul 7, 2022",@Marshmello,19,16,122,,Stories
Coca-Cola,"Jul 4, 2022",#ShareACoke,57,52,199,,Reels
Coca-Cola,"Jun 29, 2022",#CocaColaCreations,108,267,784,,Static Images
Coca-Cola,"Jul 11, 2022",#CocaColaXMarshmello,38,27,158,,Polls
Coca-Cola,"Jul 14, 2022",@Marshmello,43,32,167,,Infographics
Coca-Cola,"Jul 14, 2022",@Marshmello,43,32,167,,Videos
Coca-Cola,"Jul 20, 2022",@Marshmello,52,71,281,,Videos
Coca-Cola,"Jul 19, 2022",,17,22,155,,Stories
Coca-Cola,"Jul 14, 2022",@Marshmello,43,32,167,,Videos
Coca-Cola,"Jul 13, 2022",,122,78,543,,Stories
Coca-Cola,"Jul 11, 2022",#CocaColaXMarshmello,38,27,158,,Reels
Coca-Cola,"Jul 10, 2022",@Marshmello,45,42,254,,Polls
Coca-Cola,"Jul 10, 2022",@marshmello,18,34,137,,Live Streams
Coca-Cola,"Jul 9, 2022",https://x.com/marshmello/sta/marshmello/status/1545812871140892674…,21,25,214,,Static Images
Coca-Cola,"Jul 8, 2022",#CocaColaXMarshmello,15,19,95,,Memes
Coca-Cola,"Jul 7, 2022",@Marshmello,19,16,122,,Reels
Coca-Cola,"Jul 4, 2022",#ShareACoke,57,52,199,,Carousel Posts
Coca-Cola,"Jun 29, 2022",#CocaColaCreations,108,267,784,,Static Images
