company_name-discard,date_of_post,mention,comments,hashtag,comments,shares,likes,status,views,post_type
Myntra,"Jul 6, 2024",,12,,12,5,11,https://x.com/myntra/status/1809540574770299067/analytics,3900,Carousel Posts
Myntra,"Jul 4, 2024",,17,#VictoryParade,17,5,20,https://x.com/myntra/status/1808862716972380428/analytics,4000,Stories
Myntra,"Jul 4, 2024",,27,,27,6,67,https://x.com/myntra/status/1808731366479335526/analytics,6400,Infographics
Myntra,"Jul 2, 2024",,26,,26,7,22,https://x.com/myntra/status/1808088074431131970/analytics,3500,Polls
Myntra,"Jul 1, 2024",,39,#MyntraHome,39,10,38,https://x.com/myntra/status/1807751121655501037/analytics,5100,Product Showcases
Myntra,"Jul 1, 2024",,16,#MyntraHome,16,4,15,https://x.com/myntra/status/1807707215437947168/analytics,3000,Infographics
Myntra,"Jun 30, 2024",,19,#T20WorldCup,19,9,62,https://x.com/myntra/status/1807125929069842831/analytics,5500,Infographics
Myntra,"Jun 29, 2024",@imVkohli,14,#INDvsSAFinal,14,7,65,https://x.com/myntra/status/1807117210797621612/analytics,3700,Static Images
Myntra,"Jun 29, 2024",,37,#INDvsSAFinal,37,9,45,https://x.com/myntra/status/1807111894500614423/analytics,12000,Reels
Myntra,"Jun 29, 2024",@surya_14kumar,9,,9,4,14,https://x.com/myntra/status/1807110352699830738/analytics,2200,Stories
Myntra,"Jun 29, 2024",,7,#INDvsSAFinal,7,4,17,https://x.com/myntra/status/1807107814998905227/analytics,2200,Videos
Myntra,"Jun 29, 2024",,11,#INDvsSAFinal,11,5,13,https://x.com/myntra/status/1807054944123404567/analytics,2400,Static Images
Myntra,"Jun 29, 2024",,10,#INDvsSAFinal,10,5,19,https://x.com/myntra/status/1806961347369799783/analytics,2500,Videos
Myntra,"Jun 28, 2024",@msdhoni,31,,31,7,41,https://x.com/myntra/status/1806713661622215021/analytics,2700,Product Showcases
Myntra,"Jun 28, 2024",,40,,40,2,19,https://x.com/myntra/status/1806713524816613751/analytics,4700,Stories
Myntra,"Jun 28, 2024",,16,#INDvsENG2024,16,4,23,https://x.com/myntra/status/1806423015200280694/analytics,2800,Product Showcases
Myntra,"Jun 27, 2024",,15,#INDvsENG,15,4,13,https://x.com/myntra/status/1806335118954348928/analytics,3300,Infographics
Myntra,"Jun 27, 2024",,19,#MyntraHome,19,1,6,https://x.com/myntra/status/1806296573275680850/analytics,2100,Infographics
Myntra,"Jun 26, 2024",,31,,31,2,13,https://x.com/myntra/status/1805869972889157724/analytics,3400,Live Streams
Myntra,"Jun 25, 2024",,26,,26,4,25,https://x.com/myntra/status/1805619153568776514/analytics,5900,Stories
Myntra,"Jun 24, 2024",,23,#INDvsAUS,23,6,36,https://x.com/myntra/status/1805303860141199765/analytics,4400,Carousel Posts
Myntra,"Jun 24, 2024",,13,#INDvsAUS,13,3,24,https://x.com/myntra/status/1805303080017444987/analytics,3200,Videos
Myntra,"Jun 24, 2024",,12,#INDvsAUS,12,3,24,https://x.com/myntra/status/1805259339705503996/analytics,2600,Memes
Myntra,"Jun 24, 2024",,8,#INDvsAUS,8,2,13,https://x.com/myntra/status/1805228668844929478/analytics,2300,Stories
Myntra,"Jun 24, 2024",,13,,13,1,18,https://x.com/myntra/status/1805167367464636857/analytics,2700,Reels
Myntra,"Jun 23, 2024",,20,,20,2,12,https://x.com/myntra/status/1804902687827480805/analytics,4000,Static Images
Myntra,"Jun 22, 2024",,13,#INDvsBAN,13,5,22,https://x.com/myntra/status/1804571542862594417/analytics,6800,Stories
Myntra,"Jun 22, 2024",,15,#INDvsBAN,15,2,21,https://x.com/myntra/status/1804554210605949274/analytics,3700,Live Streams
Myntra,"Jun 22, 2024",,25,,25,2,21,https://x.com/myntra/status/1804425342142288128/analytics,3800,Live Streams
Myntra,"Jun 21, 2024",,21,,21,1,12,https://x.com/myntra/status/1804119405183537341/analytics,4000,Memes
