company_name-discard,caption,hashtag,status,comments,shares,likes,post_type
H&M,28-Oct,#EditionbyJohnBoyega,https://x.com/BritishGQ/status/1445386896016920587/photo/1,9,14,59,Stories
H&M,"Wait, is that award-winning actor",#EditionbyJohnBoyega,,6,11,73,Reels
H&M,"I guess the internet is closed. 
How’s everyone holding up?",,https://x.com/hm/status/1445144169077481474/analytics,46,50,619,Product Showcases
H&M,"It’s working again, never mind!",,,14,49,398,Infographics
H&M,Social justice advocate. One of the brightest actors of his generation. Guess who? Comment below. Collection is out 28 October.,#HMMan,,3,8,48,Carousel Posts
H&M,Athleisure is the new normal. HMxME,,,17,17,66,Live Streams
H&M,"""I’m here for it."" @preciousmusthaph is all about making an entrance in our Autumn / Winter 2021 campaign films",#FallFeelings,https://x.com/hm/status/1438397244793835521/photo/1,9,34,176,Static Images
H&M,Spotted: Gigi Hadid wearing head-to-toe denim from,#HMStudio,https://t.co/b5NjHQhvpC,12,15,71,Infographics
H&M,At last they are back: The relaxed jeans. A fresh take on a '90s classic.,#HMMan,,5,8,57,Static Images
H&M,THE COLLAB OF 2022:,#IrisApfelxHM,https://x.com/hm/status/1435958683968565248/photo/1,10,103,281,Polls
H&M,is OUT NOW in selected markets. This way for self-expression and fearless style: The collection launches 23 September in the US & Canada.,#HMStudio,https://x.com/hm/status/1435944289096318976/photo/1,5,9,54,Live Streams
H&M,Your premium feel streetwear collection just got a major upgrade. Blank Staples is back.,#HMMan,https://x.com/hm/status/1434501591181238272/photo/1,13,15,97,Polls
H&M,"Serving crystal bling and custom-designed """"Queendom"""" prints.",#HMStudio,https://x.com/hm/status/1433686210392870912/photo/1,5,19,55,Reels
H&M,OUT NOW:,#TOGA_ARCHIVESxHM,,13,16,52,Memes
H&M,OUT TOMORROW: avant-garde and contemporary tailoring for women & men.,#TOGA_ARCHIVESxHM,,5,14,61,Static Images
H&M,Congratulations on your 100th birthday,,https://x.com/hm/status/1431874264563605507/photo/1,9,27,160,Product Showcases
H&M,A preppy vest will spice up literally any outfit. HMxME,,,3,9,60,Videos
H&M,Exceptional versatility is the keyword for the,#TOGA_ARCHIVESxHM,https://x.com/hm/status/1431255186677411841/photo/1,3,6,42,Product Showcases
H&M,"Past collections of TOGA, reworked. Experience next level looks with details that express who you are before the conversation starts.",#TOGA_ARCHIVESxHM,https://x.com/hm/status/1431149496205991944/photo/1,2,17,95,Videos
H&M,Effortless confidence. All-time comfort. The jogger set — relaxed style from sleep to street.,#HMMan,,11,15,72,Stories
H&M,Just arrived: our collab with the iconic Indian couture designer Sabyasachi.,#SabyasachixHM,https://x.com/hm/status/1425728772003799042/photo/1,53,37,159,Infographics
H&M,Modern quality essentials. A clean approach to details. Check out the casual cargos.,#HMMan,,18,8,45,Product Showcases
H&M,"""Any age and you can be a role model.""
Meet Ryan, 11, founder of Ryan's Recycling. Read more about our Role Models and their work here,",#HMKids,https://x.com/hm/status/1417816634912346123/photo/1,27,15,53,Videos
H&M,"""The future belongs to those who will live in it.""
Meet Catarina, 13, eco warrior & climate crusader. Read more about our Role Models and their work here,",#HMKids,https://x.com/hm/status/1417106959141122059/photo/1,21,33,47,Infographics
H&M,Peace champion. Eco warrior. Climate crusader. We've met the ones taking action for a better world — and we want you to meet them too.,#HMKids,,8,12,44,Videos
H&M,Congratulations,,https://x.com/Variety/status/1414976988192796672/photo/1,1,12,79,Infographics
H&M,Summer's no.1 champion just in: the resort shirt. When you want to look A+ from sunrise to sunset.,#HMMan,,33,16,62,Reels
H&M,The pop art drop — fresh streetwear paying tribute to legendary artist Keith Haring.,#HMMan,https://x.com/hm/status/1411369161960349703/photo/1,7,14,111,Stories
H&M,Eye-catching sneakers with Keith Haring prints.,#HMMan,https://x.com/hm/status/1410931276819963910/photo/1,3,19,120,Infographics
H&M,Gigi Hadid spotted wearing,#BrockCollectionxHM,https://t.co/9TcMBaBWZ0,4,24,142,Stories
H&M,Wearing Haring. Check out our fresh collection featuring the works of the American pop art legend Keith Haring.,#HMMan,https://x.com/hm/status/1410493412587999234/photo/1,11,18,83,Carousel Posts
H&M,We are proud to announce that together with,@looop,https://x.com/hm/status/1408008070483959810/analytics,11,25,86,Infographics
H&M,"“This win is a celebration of sustainability, collaboration and creativity – central priorities for our planet and industry.” – Ajaz Ahmed, CEO of",,,4,4,23,Static Images
H&M,Enter the fabulous world of Upcycling with Alva Claire and,#HMTheSmallThings,,58,346,2500,Product Showcases
H&M,"“As a surfer, I want to protect our oceans from reef-damaging pollution. And making the change to recycled materials is a step in the right direction.” @alikamock lives in North Shore Oahu, Hawaii.",#HMMan,https://x.com/hm/status/1404362992154824706/photo/1,6,10,76,Infographics
H&M,"""Our pride is eternal.""",,https://x.com/hm/status/1403608010656825347/analytics,9,7,122,Live Streams
H&M,"Lidia & Maria hid their sexuality for decades. Now, they share their love for each other with the world.",#HM,,1,7,61,Polls
H&M,For all our French speaking friends,#TOGA_ARCHIVESxHM,https://t.co/EHNK8CuVgJ,7,7,38,Infographics
H&M,NEW COLLABORATION:,https://hm.info/601643Bey,,6,18,76,Infographics
H&M,"""Conceptually, we want to create clothes that are not determined by gender but by situations. Ideally, I’m looking for a society where people wear the clothes they wish to wear."" Y.F.",#HM,,7,8,34,Reels
H&M,"""I was interested in fashion being not just a couture-led, technique-based skill, but instead something that was more idea-based."" Y.F.",#HM,,2,6,34,Carousel Posts
H&M,"""My pride has no limits.""",,https://x.com/hm/status/1402883243230347264/analytics,2,8,78,Stories
H&M,"Deaf, transgender, Jewish, Asian. Chella Man is no stranger to standing out — or standing up for all that makes him different.",#HM,,3,9,46,Videos
H&M,"""My pride shocked me.""",,https://x.com/hm/status/1402158456661069824/analytics,3,7,60,Live Streams
H&M,"""My pride is unbreakable.""",,https://x.com/hm/status/1401796068497629186/analytics,1,6,47,Polls
H&M,"What's your favorite place? For South African surfer @joshefaulkner it's somewhere surrounded by waves: ""The ocean and I have a special relationship. It’s where I go to relax and be at ease.""",#HMMan,https://x.com/hm/status/1401433658578325505/photo/1,4,6,56,Static Images
H&M,What's on your summer checklist?,#BintouSillah,https://x.com/hm/status/1400769222775644163/photo/1,11,9,80,Reels
H&M,June's absolute best: The tech shorts. When you want to feel as good as you look.,#HMMan,,4,3,42,Videos
H&M,"Pride is more than pretty colours. This year, we're peeling back the colours to discover the true meaning of the Pride flag and hear the powerful stories beyond.",#HM,,71,530,923,Product Showcases
H&M,"Did you know we're working towards our goal of using 100% organic, recycled or other more sustainably sourced materials by 2030? Our babywear is designed to last with room-to-grow features so they can be worn longer",https://hm.info/60134MFLS,https://x.com/hm/status/1399334852596580353/analytics,5,12,89,Memes
H&M,"“There’s a ruched petal-pink corset styled shown with jeans, a signature Brock combination; a rose-printed dress with grosgrain ribbon sleeves, smocked through the bust in lieu of boning…”",https://hm.info/60184MLj0,https://x.com/hm/status/1397205818060255234/analytics,12,9,32,Static Images
H&M,"“We got an email from their team last May, and we honestly thought it was fake.” — Brock Collection",#BrockCollectionxHM,,2,3,23,Polls
H&M,What's your favorite beach? For Malaysian surfer,#HMMan,https://x.com/hm/status/1396737654167846913/photo/1,6,10,71,Infographics
H&M,"Football fused with streetwear. Introducing a new crossover collection where the greats meet. Co-designed with Neal Heard, founder of the football fashion brand Lover's FC and one of the top voices of Europe's jersey scene. Out now.",#LoversFCxHM,,9,11,40,Polls
H&M,"Hey you. Don’t let the noise of self doubt, people’s opinions & negativity tag along your summer. Do like Paloma Elsesser & cut out the noise to have your best summer.",#HM,,28,43,193,Reels
H&M,"If it requires a bikini, our answer is yes. New pool-ready styles are in:",#HM,https://x.com/hm/status/1394925809312452609/photo/1,7,10,75,Carousel Posts
H&M,"It's time to join up! If you know of a kid who is doing something wonderful, we’d love to help you share it with the world. Visit our website to find out how.",#RoleModelsxHM,,60,16,84,Infographics
H&M,"They can’t drive, vote or tweet. But they will change the planet—or even find new ones. We’re shining a spotlight on the people who are making the world a better place: kids. Visit the link to find out more.",#RoleModelsxHM,,32,16,73,Static Images
H&M,"“I have always said that we are not a cool brand. It's not about being cool or not. We try to be relevant. I'm not going into the cool club. It's not my address."" — Alber Elbaz",,,15,10,71,Stories
H&M,"Alber, we will forever miss your genius and your generosity. Your talent was enriched by one of the kindest hearts and sweetest personalities in fashion.",#AlberElbaz,https://x.com/hm/status/1386402135856746500/photo/1,5,16,142,Videos
H&M,OUT NOW*:,#lemlemxHM,https://x.com/hm/status/1385126230920421379/photo/1,21,7,72,Infographics
H&M,We,#SimoneRochaxHM,https://x.com/hm/status/1370275498199281664/photo/1,335,20,169,Reels
H&M,is finally here!,#SimoneRochaxHM,https://x.com/hm/status/1370041718440087552/photo/1,109,14,104,Static Images
H&M,Step into the world of Simone Rocha.,#SimoneRochaxHM,https://x.com/hm/status/1369966355718488064/photo/1,71,17,128,Product Showcases
H&M,Simone Rocha is beloved for reclaiming girlish elements for a modern take on beauty.,#SimoneRochaxHM,,69,19,97,Infographics
